nink_id,object,address,region_name,declared,announced,group,type,category,removed,is_removed,changes,lng,lat,heading,pitch,zoom,centroid_lng,centroid_lat,zone_id,zone_name
1,Централна минерална баня /Сградата на централните минерални бани/,пл.”Бенеш” №1 / ”Триадица”/    ул.“Екз. Йосиф”,Оборище,,“Известия” бр.73 от 1955 г.; ДВ бр.25 от 1998 г.,,архитектурно-строителен; архитектурно-строителен и художествен,местно; национал-но,,0,,23.323336110094942,42.699401833435466,103.04056228759755,7.359543741916106,1.0,23.32390037900708,42.699297511221395,А-1,Зона на Исторически Развилия се Градски Център
2,Джамия “Баня баши”,бул.”Георги Димитров” / ”Кн.Мария Луиза” №14,Оборище,,“Известия” бр.73 от 1955 г.; ДВ бр.25 от 1998 г.,,архитектурно-строителен; архитектурно-строителен и художествен,местно; национал-но,,0,,23.322503682159553,42.699819467769345,176.1016027578291,13.055201726665292,1.66,23.322534179247516,42.69950132829421,А-1,Зона на Исторически Развилия се Градски Център
3,"Сградата на Софийската градска библиотека, б. Общинска библиотека",ул.”Сердика” №1,Оборище,писмо №1787 от 21.05.1976г. /№ 533/,ДВ бр.40 от 1978 г. /№22/,,архитектурно-строителен,местно,,0,,,,,,,23.324647232683542,42.69810317529606,А-1,Зона на Исторически Развилия се Градски Център
4,"Административ-на сграда на Държавна планова комисия, б. Австрийско застрахователно дружество “Феникс”",Бул.”Княз Дондуков” №21 /сега № 3/,Оборище,писмо №1787 от 21.05.1976г. /№ 532/,ДВ бр.40 от 1978 г. /№21/,,архитектурно-строителен,местно,,0,,23.324175999999966,42.6972778,23.594656878796815,11.187966804452964,2.33,23.32453994086935,42.69789200560495,А-1,Зона на Исторически Развилия се Градски Център
5,Храм “Света Неделя”,пл.”Ленин” / “Света Неделя”,Средец,писмо №1787 от 21.05.1976г. /№ 136/; писмо №2637 от 07.06.1988г.,ДВ бр.40 от 1978 г. /№1/,,архитектурно-строителен  ; художествен  исторически,местно,,0,,23.321057013048407,42.696395195352785,32.422917841558174,14.147422789063011,1.66,23.321355313434584,42.696720897161114,А-1,Зона на Исторически Развилия се Градски Център
6,"Църква “Света Петка Самарджийска”, подлеза пред ЦУМ",,Оборище,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,археологи-чески; архитектурно-строителен художествен  исторически,национал-но,,0,,23.321913342753078,42.697850869252385,102.77281207408456,-2.219328464313997,2.0,23.322171850463704,42.697864358289756,А-1,Зона на Исторически Развилия се Градски Център
7,Храм-паметник “Св. Александър Невски”,пл.”Ал. Невски” №1,Оборище,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; художествен  исторически,национал-но,,0,,23.331676572560696,42.69581023211503,102.44316716776146,16.181766614156597,2.0,23.332791136054727,42.695819664467315,А-1,Зона на Исторически Развилия се Градски Център
8,Храм “Света София”,ул.”Париж” №2 / ул.”Московска”,Оборище,,ДВ бр.69 от 1927 г.; “Известия” бр.73 от 1955 г.,,народна старина; археологичес-ки,национал-но,,0,,23.331111111111113,42.696537647734,53.670578460785045,20.668200000710478,1.0,23.331400479954873,42.696531992502514,А-1,Зона на Исторически Развилия се Градски Център
9,Палата “Светия Синод”,пл.”Ал. Невски” ,Оборище,,“Известия” бр.73 от 1955 г.; ДВ бр.25 от 1998 г.,,архитектурно-строителен ; архитектурно-строителен и художествен,местно; национал-но,,0,,23.331676572560696,42.69581023211503,-113.98709873814612,9.760601224341444,2.0,23.3312149362798,42.69545067165632,А-1,Зона на Исторически Развилия се Градски Център
10,Гроб и паметник на Иван Вазов,"пл.”Ал.Невски""",Оборище,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,исторически; исторически и мемориален,национал-но,,0,,23.33013600808931,42.69646451247282,101.149957177511,3.6231304351290636,2.0,23.332177833077733,42.69657625195383,А-1,Зона на Исторически Развилия се Градски Център
11,Паметник на Иларион Макариополски,пл.”Ал. Невски”,Оборище,писмо №2637 от 07.06.1988г.,,,исторически и мемориален,национално /предв.кат./,,0,,23.33147298317885,42.696007533874784,-160.28545324390183,-1.3933340127328926,3.0,23.33133619131623,42.69581869827611,А-1,Зона на Исторически Развилия се Градски Център
12,Паметник на освободителите,пл.”Народно събрание”,Средец,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,художествен  ; исторически и мемориален,национал-но,,0,,23.332495987416568,42.693732418118344,-131.41263995160875,17.91300096669037,1.0,23.33232013133774,42.693756095488524,А-1,Зона на Исторически Развилия се Градски Център
13,Паметник на Васил Левски,пл.”Паметник Васил Левски”,Оборище,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; художествен исторически и мемориален,национал-но,,0,,23.334986800000024,42.6966669,91.34816098510174,6.4287399430233405,2.33,23.3353247587051,42.69667586902008,А-1,Зона на Исторически Развилия се Градски Център
14,Църква “Св. Седмочисленици”,ул.”Граф Игнатиев” №25 / ул.”Цар Шишман”,Средец,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; художествен,местно,,0,,23.32781399889109,42.689653654459796,-24.608335932321204,12.457508064392952,1.66,23.327579174690882,42.68994003323333,А-1,Зона на Исторически Развилия се Градски Център
15,Народна библиотека “Св.св. Кирил и Методий”,"бул.”Толбухин"" №11",Оборище,писмо №1787 от 21.05.1976г. /№ 7/; писмо №2637 от 07.06.1988г.,ДВ бр.40 от 1978 г. /№44/,,архитектурно-строителен ; художествен,национал-но,,0,,23.33507439643552,42.694968753797845,97.03966385968546,4.9306012015799965,1.66,23.33600589437662,42.69483397701511,А-1,Зона на Исторически Развилия се Градски Център
16,Паметник на загиналите медицински чинове в руско-турската освободителна война /Докторски паметник/,ул.”Шипка” / “Сан Стефано” / “Оборище”,Оборище,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; исторически и мемориален,национал-но,,0,,23.33843171596607,42.6945268846223,111.56488030458534,3.095468670111749,1.0,23.338455524698784,42.69449065333652,Ж-1,"Жилищна Зона ""Докторски Паметник"""
17,Руски паметник,пл.”Руски паметник”,Красно Село,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; исторически и мемориален,национал-но,,0,,23.310743099999968,42.6924721,-123.6140449888787,5.926639625974246,2.6500000000000004,23.310434804275324,42.6922518750057,Ж-4,"Жилищна Зона ""Руски Паметник - Буката"""
18,Орлов мост,бул.”Руски” / “Кл.Готвалд”/ “България”,Средец,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; художествен  исторически,местно; национал-но,,0,,23.33756959863888,42.690763073998816,-177.5681681428336,6.838236466058643,2.0,23.337325687112074,42.69046614394655,А-1,Зона на Исторически Развилия се Градски Център
19,Лъвов мост,"бул.Сливница /бул.""Г.Димитров"" /""Княгиня Мария Луиза",Сердика,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; худажествен ,местно,,0,,23.323989665850377,42.70465117621517,1.0128305180131045,-2.697148887709585,3.0,23.32376947709686,42.7049424956444,А-2,Зона на Старите Пазарища
20,Църква “Св.Николай Софийски”,"ул.”Цар Симеон”/ул.”Опълченска”/ ул.”Жданов” /""Пиротска""",Възраждане,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,архитектурно-строителен ; художествен  ,местно; национал-но,,0,,23.31002217401351,42.70124297225304,10.063566192471516,6.646144944062027,1.66,23.3100505408473,42.701586228947036,Ж-5,Зона на Работническото Движение
